sim_id,npv_merchant_eur,npv_pay_as_produced_eur,npv_baseload_eur
1,22313112.88,23020341.53,16263444.69
2,17790659.56,23079487.64,19057922.88
3,18019784.07,23376926.1,19572886.58
4,19610475.28,23106786.35,18789359.83
5,18604363.6,23794709.77,18489894.0
6,24540415.98,23659328.7,17326097.52
7,20440609.01,23942454.0,18127016.84
8,22428694.72,22875101.39,17495017.79
9,20348697.89,23496433.41,17387167.46
10,21391327.0,24340840.92,17873045.5
11,22397456.4,24325353.85,18554961.05
12,17677140.3,23187792.69,18566049.26
13,23067148.42,23531734.68,18369596.97
14,20324958.85,23311177.28,18383751.64
15,20012394.15,23444703.24,20225957.81
16,17886655.44,23391420.4,19944392.47
17,19410850.43,23564954.53,17139436.18
18,16758305.34,23275366.58,18881667.48
19,23497770.02,23144883.38,15316485.42
20,22570472.51,22801073.37,18071014.05
21,25145113.53,24037638.26,17528454.23
22,17246028.58,23195148.26,18663643.5
23,17745616.24,22914623.53,19206377.87
24,18737443.01,23537540.98,19017359.97
25,20554407.47,22858435.06,16986113.72
26,22692263.89,24080370.48,18092263.07
27,20829918.27,23590332.41,18576925.46
28,23672825.37,23393491.18,17692968.48
29,18903956.74,23798670.47,20607760.37
30,22991244.14,23545862.42,19295326.43
31,23344643.93,23533320.68,18356886.69
32,15246782.92,23596829.99,20661123.22
33,18596932.12,23444196.16,19856342.66
34,23834061.37,23578415.01,17550837.33
35,24187159.99,23468047.01,18504379.38
36,18989882.95,22934699.68,18380129.49
37,23024025.14,23565108.68,18071124.35
38,24860290.44,24193156.23,18942126.53
39,20188067.53,23560503.2,18356496.03
40,17996912.94,23438017.65,18532755.1
41,21452164.25,23241214.89,18025155.47
42,23860250.75,23763352.91,15270472.48
43,19764359.79,23176639.12,18883914.6
44,23389182.37,23561121.22,18039507.43
45,19809606.37,22915075.67,18425744.36
46,18805187.16,22896696.86,16958449.85
47,24374309.46,23341837.19,16961125.83
48,24451607.19,23743795.24,18493739.2
49,19055281.36,23972383.68,20939546.12
50,24499161.1,23331630.21,17204594.57
51,22140694.05,23364833.32,17816077.47
52,18853994.02,23199788.85,17971882.35
53,19849979.84,22801367.47,17217643.13
54,17334573.31,23742154.39,19483001.61
55,21482575.12,23904828.74,19162243.45
56,21402982.09,23282786.75,18710013.57
57,22979773.98,23480254.85,16838451.68
58,23732688.0,23063648.1,17122789.59
59,24628634.15,24043920.42,16473744.32
60,16366439.88,22756143.19,19610262.68
61,21230415.93,22498897.34,16184995.26
62,20351165.73,23455974.37,18464531.97
63,18919306.91,23188024.87,18800081.5
64,21025383.6,23281025.57,18479755.82
65,16558825.01,23741165.99,20479390.41
66,14664436.52,23957063.29,21589364.5
67,21765465.23,23301340.62,18116212.39
68,16499117.02,23148788.39,19756634.95
69,18131694.4,23178123.57,19011768.01
70,19615172.39,23398141.87,19066082.51
